id,item_text,item_title,item_model,item_picture,item_page
142,레트로,레이어드 연출,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216362700000059963.jpg,https://www.musinsa.com/app/styles/views/32198
143,골프,봄 필드 룩,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216322200000068152.jpg,https://www.musinsa.com/app/styles/views/32197
144,골프,청량한 매력,모델 : 윤유정,https://image.msscdn.net/images/style/list/l_3_2023032216300900000096555.jpg,https://www.musinsa.com/app/styles/views/32196
145,댄디,화사한 매력,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118292300000026858.jpg,https://www.musinsa.com/app/styles/views/32195
146,댄디,남다른 청청 패션,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118264400000051422.jpg,https://www.musinsa.com/app/styles/views/32194
147,스트릿,개성 만점,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118243500000029382.jpg,https://www.musinsa.com/app/styles/views/32193
148,캐주얼,손쉬운 연출,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118212500000031595.jpg,https://www.musinsa.com/app/styles/views/32192
149,댄디,센스 있는 컬러 매치,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118182000000095264.jpg,https://www.musinsa.com/app/styles/views/32191
150,댄디,가볍고 멋스럽게,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118134300000096880.jpg,https://www.musinsa.com/app/styles/views/32190
151,댄디,댄디 무드,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118063300000005606.jpg,https://www.musinsa.com/app/styles/views/32189
152,스트릿,트렌드 아이템,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118032700000034115.jpg,https://www.musinsa.com/app/styles/views/32188
153,스트릿,힙스터 코디,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032118012600000013127.jpg,https://www.musinsa.com/app/styles/views/32187
154,고프코어,고프코어 룩,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117564200000072641.jpg,https://www.musinsa.com/app/styles/views/32186
155,댄디,베스트 활용법,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117531100000099213.jpg,https://www.musinsa.com/app/styles/views/32185
156,댄디,워너비 스타일,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117494900000040981.jpg,https://www.musinsa.com/app/styles/views/32184
157,댄디,뉴트럴 매치,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117465500000020535.jpg,https://www.musinsa.com/app/styles/views/32183
158,댄디,슬림 핏 실루엣,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117432200000032117.jpg,https://www.musinsa.com/app/styles/views/32182
159,댄디,감각적이야,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117404000000041719.jpg,https://www.musinsa.com/app/styles/views/32181
160,댄디,따라 입고 싶어,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117370900000050992.jpg,https://www.musinsa.com/app/styles/views/32180
161,캐주얼,데일리 캐주얼,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117325700000082421.jpg,https://www.musinsa.com/app/styles/views/32179
162,댄디,디테일 더하기,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117285900000089981.jpg,https://www.musinsa.com/app/styles/views/32178
163,댄디,깔끔한 마무리,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032117260000000018072.jpg,https://www.musinsa.com/app/styles/views/32177
164,골프,골프 웨어,모델 : 기무,https://image.msscdn.net/images/style/list/l_3_2023032116425900000092091.jpg,https://www.musinsa.com/app/styles/views/32176
165,캐주얼,크롭 포인트!,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115362900000015063.jpg,https://www.musinsa.com/app/styles/views/32175
166,고프코어,고프코어 룩,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115341100000002328.jpg,https://www.musinsa.com/app/styles/views/32174
167,고프코어,빈티지 색감,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115322900000070404.jpg,https://www.musinsa.com/app/styles/views/32173
168,스포츠,스포티 무드,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115303800000033761.jpg,https://www.musinsa.com/app/styles/views/32172
169,스트릿,스트릿 바이브,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115283500000084449.jpg,https://www.musinsa.com/app/styles/views/32171
170,스포츠,멋스러운 스포츠 룩,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115261500000010396.jpg,https://www.musinsa.com/app/styles/views/32170
171,고프코어,워너비 스타일,모델 : 홍유진,https://image.msscdn.net/images/style/list/l_3_2023032115242000000046647.jpg,https://www.musinsa.com/app/styles/views/32169
